index_code,date,open,close,low,high,volume,money,change,label
300,2007/4/16,3177.3,3256,3177.29,3256.57,87928940,1.13E+11,2.7379,3283.6
300,2007/4/17,3273.43,3283.6,3182.95,3288.17,105307105,1.34E+11,0.8477,3304.5
300,2007/4/18,3294.21,3304.5,3244.93,3311.98,101426707,1.29E+11,0.6365,3150.3
300,2007/4/19,3297.95,3150.3,3065.28,3297.95,115270009,1.44E+11,-4.6664,3289.28
300,2007/4/20,3165.67,3289.28,3165.67,3297.41,94469869,1.19E+11,4.4116,3431.32
300,2007/4/23,3330.8,3431.32,3330.8,3433.52,109958991,1.38E+11,4.3183,3445.2
300,2007/4/24,3462.48,3445.2,3418.3,3490.81,114643006,1.49E+11,0.4045,3448.28
300,2007/4/25,3432.02,3448.28,3376.08,3467.83,100580669,1.29E+11,0.0894,3493.58
300,2007/4/26,3465.11,3493.58,3438.88,3493.91,78997690,1.08E+11,1.3137,3470.52
300,2007/4/27,3499.94,3470.52,3436,3503.89,80698636,1.14E+11,-0.6601,3558.71
300,2007/4/30,3487.36,3558.71,3478.93,3568.68,94302864,1.38E+11,2.5411,3686.03
300,2007/5/8,3643.81,3686.03,3618.78,3699.37,106788732,1.54E+11,3.5777,3701.28
300,2007/5/9,3699.3,3701.28,3556.61,3717.34,140648358,1.89E+11,0.4137,3724.51
300,2007/5/10,3703.52,3724.51,3671.81,3742.23,115419922,1.53E+11,0.6276,3702.61
300,2007/5/11,3696.29,3702.61,3629.71,3715.37,88961761,1.34E+11,-0.588,3734.42
300,2007/5/14,3648.27,3734.42,3620.86,3769.16,91098049,1.37E+11,0.8591,3604.64
300,2007/5/15,3739.05,3604.64,3600.21,3751.64,93578568,1.38E+11,-3.4752,3700.29
300,2007/5/16,3598,3700.29,3557.2,3700.65,86229268,1.27E+11,2.6535,3778.6
300,2007/5/17,3716.44,3778.6,3705.27,3794.16,90256478,1.35E+11,2.1163,3776.63
300,2007/5/18,3771.27,3776.63,3746.24,3805.21,82418898,1.21E+11,-0.0521,3831.44
300,2007/5/21,3650.8,3831.44,3643.08,3843.84,98478650,1.45E+11,1.4513,3870.49
300,2007/5/22,3849.04,3870.49,3849.04,3893.19,109618184,1.61E+11,1.0192,3938.95
300,2007/5/23,3879.76,3938.95,3853.91,3939.49,98523171,1.47E+11,1.7688,3919.75
300,2007/5/24,3953.89,3919.75,3858.51,3972.58,113814264,1.72E+11,-0.4874,3985.25
300,2007/5/25,3907.73,3985.25,3888.31,3996.85,95416615,1.51E+11,1.671,4072.58
300,2007/5/28,4033.92,4072.58,4027.36,4091.94,114041851,1.83E+11,2.1913,4168.29
300,2007/5/29,4090.9,4168.29,4079.87,4168.53,113267227,1.79E+11,2.3501,3886.46
300,2007/5/30,3906.04,3886.46,3849.7,4104.2,132739140,2.10E+11,-6.7613,3927.95
300,2007/5/31,3828.72,3927.95,3683.56,3991.73,126078248,1.94E+11,1.0676,3803.95
300,2007/6/1,3953.1,3803.95,3780.03,4014.15,119937939,1.94E+11,-3.1569,3511.43
300,2007/6/4,3804.96,3511.43,3503.94,3822.41,90531019,1.31E+11,-7.6899,3634.63
300,2007/6/5,3407,3634.63,3246.73,3635.15,113768038,1.51E+11,3.5085,3677.58
300,2007/6/6,3652.89,3677.58,3550.74,3712.53,95951510,1.36E+11,1.1817,3802.3
300,2007/6/7,3694.55,3802.3,3684.46,3802.3,94190581,1.37E+11,3.3914,3837.87
300,2007/6/8,3814.19,3837.87,3769.15,3861.21,89074742,1.37E+11,0.9355,3931.86
300,2007/6/11,3876.07,3931.86,3870.23,3937.79,90982277,1.41E+11,2.449,4036.11
300,2007/6/12,3953.96,4036.11,3834.02,4036.35,99389774,1.58E+11,2.6514,4118.27
300,2007/6/13,4071.74,4118.27,4064.15,4146.52,109452945,1.66E+11,2.0356,4075.82
300,2007/6/14,4103.52,4075.82,4022.78,4132,86609180,1.34E+11,-1.0308,4099.38
300,2007/6/15,4043.11,4099.38,4025.1,4115.73,68779600,1.09E+11,0.578,4227.57
300,2007/6/18,4178.76,4227.57,4177.19,4246.4,87872913,1.42E+11,3.1271,4253
300,2007/6/19,4227.59,4253,4186.18,4254.71,81540471,1.31E+11,0.6015,4157.6
300,2007/6/20,4268.65,4157.6,4138.33,4292.2,86863015,1.41E+11,-2.2431,4197.28
300,2007/6/21,4140.69,4197.28,4110.96,4208.87,73739471,1.22E+11,0.9544,4051.43
300,2007/6/22,4203.13,4051.43,3970.35,4220.92,79552374,1.28E+11,-3.4749,3877.59
300,2007/6/25,4066.45,3877.59,3850.84,4105.99,70031044,1.13E+11,-4.2908,3928.21
300,2007/6/26,3804.41,3928.21,3752.93,3929.37,58885114,87867741985,1.3054,4040.48
300,2007/6/27,3946.88,4040.48,3912.2,4053.41,65290520,1.02E+11,2.858,3858.52
300,2007/6/28,4038.38,3858.52,3857.85,4067.81,66857980,98372047260,-4.5034,3764.08
300,2007/6/29,3769.33,3764.08,3718.16,3867.75,58920870,88527586075,-2.4476,3757.66
300,2007/7/2,3746.18,3757.66,3644.19,3801.9,49747310,71995865464,-0.1706,3832.23
300,2007/7/3,3782.78,3832.23,3744.01,3835.29,46409126,68887494467,1.9845,3743.58
300,2007/7/4,3840.41,3743.58,3727.56,3848.08,38233716,59055648042,-2.3133,3537.44
300,2007/7/5,3688.31,3537.44,3535.04,3706.6,43225527,61324055987,-5.5065,3710.28
300,2007/7/6,3517.6,3710.28,3475.27,3712.74,51366512,71894989944,4.886,3821.3
300,2007/7/9,3743.87,3821.3,3722.23,3840.99,54073113,79270989350,2.9922,3775.62
300,2007/7/10,3832.76,3775.62,3764.25,3852.93,51907868,77184567956,-1.1954,3789.87
300,2007/7/11,3751.49,3789.87,3732.29,3797.81,33628907,51532285679,0.3774,3816.92
300,2007/7/12,3799.19,3816.92,3780.03,3839.21,31368119,45968043226,0.7137,3820.12
300,2007/7/13,3825.03,3820.12,3773.93,3829.68,26893242,38615513802,0.0838,3697.97
300,2007/7/16,3824.91,3697.97,3697.22,3830.37,29931857,44462951258,-3.1975,3789.65
300,2007/7/17,3684.33,3789.65,3650.25,3812.25,32553850,50158226605,2.4792,3807.57
300,2007/7/18,3776.94,3807.57,3756.7,3861.51,45975823,69467831664,0.4729,3807
300,2007/7/19,3796.92,3807,3778.51,3836.39,30258467,45728488495,-0.015,3971.88
300,2007/7/20,3808.08,3971.88,3808.08,3971.89,55271121,81556214966,4.331,4156.72
300,2007/7/23,4009.06,4156.72,4009.06,4157.39,85276186,1.26E+11,4.6537,4161.35
300,2007/7/24,4187.33,4161.35,4143.59,4241.58,76090735,1.12E+11,0.1114,4255.46
300,2007/7/25,4163.36,4255.46,4163.35,4256.05,64597766,1.02E+11,2.2615,4303.19
300,2007/7/26,4282.68,4303.19,4244.08,4325.93,65490243,1.04E+11,1.1216,4307.14
300,2007/7/27,4277.55,4307.14,4225.03,4318.34,65021109,1.06E+11,0.0918,4410.3
300,2007/7/30,4305.18,4410.3,4303.73,4426.31,75441583,1.21E+11,2.3951,4460.56
300,2007/7/31,4402.52,4460.56,4359.59,4467.65,71375042,1.19E+11,1.1396,4290.48
300,2007/8/1,4479.3,4290.48,4271.06,4496.25,79361665,1.29E+11,-3.813,4436.19
300,2007/8/2,4311.6,4436.19,4303.98,4449.4,62887538,1.08E+11,3.3961,4598.38
300,2007/8/3,4472.89,4598.38,4472.89,4599.25,78190473,1.41E+11,3.6561,4703.98
300,2007/8/6,4642.78,4703.98,4623.49,4704.19,76164271,1.37E+11,2.2965,4724.55
300,2007/8/7,4715.39,4724.55,4634.87,4771.58,83847133,1.55E+11,0.4373,4668.09
300,2007/8/8,4679.22,4668.09,4579.4,4741.45,88988001,1.35E+11,-1.195,4777.29
300,2007/8/9,4666.42,4777.29,4666.2,4779.14,72025786,1.17E+11,2.3393,4726.68
300,2007/8/10,4765.85,4726.68,4631.04,4771.61,74962881,1.24E+11,-1.0594,4721.19
300,2007/8/13,4724.52,4721.19,4663.2,4767.08,85763167,1.37E+11,-0.1162,4795.57
300,2007/8/14,4721.45,4795.57,4704.15,4803.57,61157911,1.06E+11,1.5754,4798.75
300,2007/8/15,4804.68,4798.75,4697.97,4836.59,63466427,1.10E+11,0.0663,4721.94
300,2007/8/16,4772.36,4721.94,4665.21,4772.97,63594794,1.10E+11,-1.6006,4626.58
300,2007/8/17,4694.2,4626.58,4616.97,4774.99,63652120,1.12E+11,-2.0195,4885.43
300,2007/8/20,4749.2,4885.43,4747.27,4885.83,67812204,1.19E+11,5.5948,4972.71
300,2007/8/21,4915.52,4972.71,4909.84,4995.53,74440593,1.33E+11,1.7865,5051.69
300,2007/8/22,4899.93,5051.69,4887.14,5075.89,74028925,1.39E+11,1.5883,5135.93
